city,cloudiness,country,date,humidity,lat,lon,main_temp,max_temp,pressure,timezone,visibility,wind.deg,wind_speed
Alta Floresta,100.0,BR,1603590147.0,96.0,-9.88,-56.09,21.53,21.53,1011.0,-14400.0,10000.0,245.0,1.13
Atuona,30.0,PF,1603589930.0,76.0,-9.8,-139.03,25.83,25.83,1011.0,-34200.0,10000.0,69.0,8.76
Ansalta,65.0,RU,1603590147.0,41.0,42.69,46.12,11.42,11.42,1019.0,10800.0,10000.0,195.0,1.29
Griffith,90.0,US,1603590147.0,70.0,41.53,-87.42,5.85,6.67,1023.0,-18000.0,10000.0,50.0,3.6
Kununurra,61.0,AU,1603590147.0,49.0,-15.77,128.73,34.0,34.0,1009.0,28800.0,10000.0,80.0,3.1
Tuktoyaktuk,75.0,CA,1603590147.0,79.0,69.45,-133.04,-5.0,-5.0,1014.0,-21600.0,10000.0,250.0,5.7
General Roca,75.0,AR,1603590148.0,29.0,-39.03,-67.58,19.0,19.0,1010.0,-10800.0,10000.0,230.0,8.2
Chernyshevskiy,100.0,RU,1603590148.0,96.0,63.01,112.47,-3.22,-3.22,1022.0,32400.0,10000.0,305.0,1.25
Bathsheba,75.0,BB,1603590148.0,74.0,13.22,-59.52,28.0,28.0,1013.0,-14400.0,10000.0,80.0,11.3
Bethel,38.0,US,1603590140.0,77.0,41.37,-73.41,8.29,8.89,1014.0,-14400.0,10000.0,144.0,0.45
Xining,100.0,CN,1603590148.0,57.0,36.62,101.77,7.69,7.69,1019.0,28800.0,10000.0,19.0,1.25
Beloha,74.0,MG,1603590042.0,81.0,-25.17,45.05,19.92,19.92,1014.0,10800.0,10000.0,56.0,2.49
Bourail,0.0,NC,1603590149.0,48.0,-21.57,165.48,29.5,29.5,1014.0,39600.0,10000.0,91.0,2.59
Husavik,90.0,IS,1603590149.0,80.0,66.04,-17.34,5.0,5.0,985.0,0.0,10000.0,10.0,9.3
Nishihara,20.0,JP,1603590149.0,41.0,26.18,127.76,24.24,25.0,1020.0,32400.0,10000.0,40.0,6.2
Yatou,100.0,CN,1603590149.0,33.0,37.15,122.38,16.11,16.11,1021.0,28800.0,10000.0,238.0,3.06
Owensboro,90.0,US,1603589897.0,71.0,37.77,-87.11,11.9,12.0,1019.0,-18000.0,10000.0,20.0,3.1
Seoul,1.0,KR,1603589871.0,62.0,37.57,126.98,13.61,15.0,1021.0,32400.0,10000.0,291.0,2.34
Kungsbacka,90.0,SE,1603590150.0,100.0,57.49,12.08,10.73,11.67,1002.0,3600.0,10000.0,170.0,6.2
